review,sentiment
"I loved this movie",positive
"Amazing acting and story",positive
"It was okay, not great",neutral
"I hated every minute",negative
"This was terrible",negative
"An absolute masterpiece",positive
"Actors delivered outstanding performances",positive
"Not my cup of tea, rather boring",negative
"A fun watch for the whole family",positive
"Could have been better, felt rushed",neutral
"I wouldnt recommend this to anyone",negative
"Some parts were enjoyable, others not",neutral
"Great Movie! I would recommend this to anyone",positive
